| table_name               | column_name                    | data_type                | is_nullable | column_default                                                                                                                                                                                                                                                          | udt_name    |
| ------------------------ | ------------------------------ | ------------------------ | ----------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------- |
| company_info             | id                             | uuid                     | NO          | uuid_generate_v4()                                                                                                                                                                                                                                                      | uuid        |
| company_info             | user_id                        | uuid                     | NO          | null                                                                                                                                                                                                                                                                    | uuid        |
| company_info             | legal_name                     | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_info             | dba_name                       | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_info             | logo_url                       | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_info             | address                        | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_info             | city                           | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_info             | state                          | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_info             | zip                            | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_info             | phone                          | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_info             | email                          | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_info             | website                        | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_info             | mc_number                      | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_info             | dot_number                     | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_info             | ein                            | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_info             | created_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| company_info             | updated_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| company_profiles         | id                             | uuid                     | NO          | uuid_generate_v4()                                                                                                                                                                                                                                                      | uuid        |
| company_profiles         | user_id                        | uuid                     | NO          | null                                                                                                                                                                                                                                                                    | uuid        |
| company_profiles         | name                           | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_profiles         | address                        | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_profiles         | city                           | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_profiles         | state                          | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_profiles         | zip_code                       | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_profiles         | country                        | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_profiles         | mc_number                      | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_profiles         | dot_number                     | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_profiles         | ein                            | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| company_profiles         | created_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| company_profiles         | updated_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| compliance_items         | id                             | uuid                     | NO          | uuid_generate_v4()                                                                                                                                                                                                                                                      | uuid        |
| compliance_items         | user_id                        | uuid                     | NO          | null                                                                                                                                                                                                                                                                    | uuid        |
| compliance_items         | title                          | text                     | NO          | null                                                                                                                                                                                                                                                                    | text        |
| compliance_items         | compliance_type                | text                     | NO          | null                                                                                                                                                                                                                                                                    | text        |
| compliance_items         | entity_type                    | text                     | NO          | null                                                                                                                                                                                                                                                                    | text        |
| compliance_items         | entity_name                    | text                     | NO          | null                                                                                                                                                                                                                                                                    | text        |
| compliance_items         | document_number                | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| compliance_items         | issue_date                     | date                     | YES         | null                                                                                                                                                                                                                                                                    | date        |
| compliance_items         | expiration_date                | date                     | NO          | null                                                                                                                                                                                                                                                                    | date        |
| compliance_items         | issuing_authority              | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| compliance_items         | notes                          | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| compliance_items         | status                         | text                     | NO          | null                                                                                                                                                                                                                                                                    | text        |
| compliance_items         | document_url                   | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| compliance_items         | created_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| compliance_items         | updated_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| customers                | id                             | uuid                     | NO          | uuid_generate_v4()                                                                                                                                                                                                                                                      | uuid        |
| customers                | user_id                        | uuid                     | NO          | null                                                                                                                                                                                                                                                                    | uuid        |
| customers                | company_name                   | text                     | NO          | null                                                                                                                                                                                                                                                                    | text        |
| customers                | contact_name                   | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| customers                | email                          | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| customers                | phone                          | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| customers                | address                        | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| customers                | city                           | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| customers                | state                          | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| customers                | zip                            | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| customers                | customer_type                  | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| customers                | status                         | text                     | YES         | 'Active'::text                                                                                                                                                                                                                                                          | text        |
| customers                | notes                          | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| customers                | tax_exempt                     | boolean                  | YES         | false                                                                                                                                                                                                                                                                   | bool        |
| customers                | tax_id                         | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| customers                | payment_terms                  | text                     | YES         | 'Net 15'::text                                                                                                                                                                                                                                                          | text        |
| customers                | credit_limit                   | numeric                  | YES         | null                                                                                                                                                                                                                                                                    | numeric     |
| customers                | created_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| customers                | updated_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| driver_mileage_crossings | id                             | uuid                     | NO          | uuid_generate_v4()                                                                                                                                                                                                                                                      | uuid        |
| driver_mileage_crossings | trip_id                        | uuid                     | NO          | null                                                                                                                                                                                                                                                                    | uuid        |
| driver_mileage_crossings | state                          | text                     | NO          | null                                                                                                                                                                                                                                                                    | text        |
| driver_mileage_crossings | state_name                     | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| driver_mileage_crossings | odometer                       | integer                  | NO          | null                                                                                                                                                                                                                                                                    | int4        |
| driver_mileage_crossings | timestamp                      | timestamp with time zone | NO          | now()                                                                                                                                                                                                                                                                   | timestamptz |
| driver_mileage_crossings | created_at                     | timestamp with time zone | NO          | now()                                                                                                                                                                                                                                                                   | timestamptz |
| driver_mileage_trips     | id                             | uuid                     | NO          | uuid_generate_v4()                                                                                                                                                                                                                                                      | uuid        |
| driver_mileage_trips     | user_id                        | uuid                     | NO          | null                                                                                                                                                                                                                                                                    | uuid        |
| driver_mileage_trips     | vehicle_id                     | text                     | NO          | null                                                                                                                                                                                                                                                                    | text        |
| driver_mileage_trips     | status                         | text                     | NO          | 'active'::text                                                                                                                                                                                                                                                          | text        |
| driver_mileage_trips     | start_date                     | date                     | NO          | null                                                                                                                                                                                                                                                                    | date        |
| driver_mileage_trips     | end_date                       | date                     | YES         | null                                                                                                                                                                                                                                                                    | date        |
| driver_mileage_trips     | created_at                     | timestamp with time zone | NO          | now()                                                                                                                                                                                                                                                                   | timestamptz |
